enm_id,column_length,column_width,porosity,darcy_velocity,influent_concentration_enm,influent_pore_volumes,ph,electrolyte_concentration,electrolyte_id,enm_density,enm_isoelectric_point,enm_zeta_potential,collector_zeta_potential,enm_diameter,collector_diameter,collector_coating,concentration_nom,nom_id,hamaker_constant_combined,enm_relative_permittivity,valence,electrolyte_rel_conc,ionic_strength,debye_length,n_dl,n_asp,n_att,n_g,n_Pe,n_Lo,n_por,m_inf,n_z1,n_z2,n_asp_c
TiO2,0.15,0.025,0.37,5.1e-05,20.0,4.0,6.0,0.56,NaCl,4510,5.9,-31.6,-53.89,8.45e-08,0.000275,None,0.0,None,4.5e-20,110.0,"[1, -1]","[1, 1]",0.56,1.5217053081e-08,5.552980564,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,7.12866228619,0.872691955381,6.0
TiO2,0.15,0.025,0.37,5.1e-05,20.0,4.0,6.0,0.75,NaCl,4510,5.9,-29.77,-53.4,8.45e-08,0.000275,None,0.0,None,4.5e-20,110.0,"[1, -1]","[1, 1]",0.75,1.31490366949e-08,6.42632627474,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,6.82749373261,0.850614004783,6.0
TiO2,0.15,0.025,0.37,5.1e-05,20.0,4.0,6.0,0.8,NaCl,4510,5.9,-29.23,-52.87,8.45e-08,0.000275,None,0.0,None,4.5e-20,110.0,"[1, -1]","[1, 1]",0.8,1.27315000345e-08,6.63708123717,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,6.66641837152,0.846874989896,6.0
TiO2,0.15,0.025,0.37,0.37,20.0,4.0,6.0,1.0,NaCl,4510,5.9,-28.5,-52.11,8.45e-08,0.000275,None,0.0,None,4.5e-20,110.0,"[1, -1]","[1, 1]",1.0,1.13873998131e-08,7.42048240925,0.000307272727273,0.00202156972792,41.3278588381,17598726.269,1.82197631349,45.9547236374,2.72434987928,6.44370508173,0.841984361435,6.0
TiO2,0.15,0.025,0.37,5.1e-05,20.0,4.0,6.0,0.02,CaCl2,4510,5.9,-28.53,-27.77,8.45e-08,0.000275,None,0.0,None,4.5e-20,110.0,"[2, -1]","[1, 2]",0.06,4.64888650652e-08,1.8176395548,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,2.89540738779,0.999635614356,6.0
TiO2,0.15,0.025,0.37,5.1e-05,20.0,4.0,6.0,0.03,CaCl2,4510,5.9,-25.53,-26.2,8.45e-08,0.000275,None,0.0,None,4.5e-20,110.0,"[2, -1]","[1, 2]",0.09,3.79579993769e-08,2.22614472277,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,2.44439597488,0.999664554634,6.0
TiO2,0.15,0.025,0.37,5.1e-05,20.0,4.0,6.0,0.04,CaCl2,4510,5.9,-23.53,-25.33,8.45e-08,0.000275,None,0.0,None,4.5e-20,110.0,"[2, -1]","[1, 2]",0.12,3.28725917373e-08,2.5705305099,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,2.18328131627,0.997289314931,6.0
TiO2,0.15,0.025,0.37,5.1e-05,20.0,4.0,6.0,0.06,CaCl2,4510,5.9,-20.27,-24.8,8.45e-08,0.000275,None,0.0,None,4.5e-20,110.0,"[2, -1]","[1, 2]",0.18,2.68403587597e-08,3.14824405875,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,1.87393379025,0.979997424733,6.0
TiO2,0.1,0.015,0.46,0.00019,100.0,6.0,5.0,1.0,KCl,4510,6.2,44.12,-14.8,2.9e-07,0.000275,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",1.0,1.13873998131e-08,25.4667443631,0.00105454545455,0.0742748454904,947924.190671,31015.1868677,0.40488362522,26.6975437361,0.731598389205,13.5758231267,-0.603039950233,6.66666666667
TiO2,0.1,0.015,0.46,0.00019,200.0,6.0,5.0,1.0,KCl,4510,6.2,44.12,-14.8,2.87e-07,0.000275,None,0.0,None,1e-20,110.0,"[1, -1]","[1, 1]",1.0,1.13873998131e-08,25.2032952835,0.00104363636364,0.0758357453137,928413.408578,30694.340107,0.40488362522,26.6975437361,0.731598389205,13.4353835771,-0.603039950233,6.66666666667
