,enm_id,rp_shape,column_length,column_width,porosity,darcy_velocity,influent_concentration_enm,influent_pore_volumes,ph,electrolyte_concentration,electrolyte_id,enm_density,enm_isoelectric_point,enm_zeta_potential,collector_zeta_potential,enm_diameter,collector_diameter,collector_coating,concentration_nom,nom_id,hamaker_constant_combined
33,TiO2,HE,0.1,0.015,0.46,0.00019,0.1,6.0,7.0,10.0,KCl,4510,6.2,-21.62,-22.2,1.34e-06,0.000275,None,0.0,None,1e-20
34,TiO2,HE,0.1,0.015,0.46,0.00019,0.2,6.0,7.0,10.0,KCl,4510,6.2,-21.62,-22.2,1.28e-06,0.000275,None,0.0,None,1e-20
35,TiO2,EXP,0.1,0.015,0.46,0.00095,0.1,6.0,5.0,10.0,KCl,4510,6.2,33.35,-9.1,1.07e-06,0.000275,None,0.0,None,1e-20
36,TiO2,HE,0.1,0.015,0.46,0.00095,0.2,6.0,5.0,10.0,KCl,4510,6.2,33.35,-9.1,1.04e-06,0.000275,None,0.0,None,1e-20
37,TiO2,HE,0.1,0.015,0.46,0.00095,0.1,6.0,7.0,10.0,KCl,4510,6.2,-21.62,-22.2,1.34e-06,0.000275,None,0.0,None,1e-20
38,TiO2,HE,0.1,0.015,0.46,0.00095,0.2,6.0,7.0,10.0,KCl,4510,6.2,-21.62,-22.2,1.28e-06,0.000275,None,0.0,None,1e-20
39,TiO2,SIR,0.3,0.015,0.38,0.00235,0.05,80.0,4.5,10.0,NaCl,4510,5.8,29.1,-22.2,5e-07,0.0002,None,0.0,None,9.73e-21
40,TiO2,SIR,0.3,0.015,0.38,0.0005,0.05,80.0,4.5,10.0,NaCl,4510,5.8,29.1,-22.2,5e-07,0.0002,None,0.0,None,9.73e-21
41,TiO2,SIR,0.3,0.015,0.38,0.00113,0.05,80.0,4.5,10.0,NaCl,4510,5.8,29.1,-22.2,5e-07,0.0002,None,0.0,None,9.73e-21
46,TiO2,SIR,0.1,0.02,0.42,4.63e-05,0.05,4.5,5.0,1.0,NaCl,4510,6.4,-45.65,26.16,4.88e-07,0.00051,IronOxide,0.001,SRHA,6.94e-21
