Concentration,TRIZMA,Citric/Oxalic/Formic Acid,Fulvic Acid,Algae,HA (SRHA or other),None
"None",0,0,0,0,0,142
"<1 mg/L",0,3,0,0,0
"1 mg/L",3,0,3,8,24
"5 mg/L",0,0,0,0,6
"10 mg/L",0,0,0,0,25
