N_Lo,exponential,nonexponential
0-0.2,39,15
0.2-0.5,102,20
0.5-0.8,2,0
0.8-1,6,6
1-1.2,0,0
1.2-1.5,9,0
1.5-1.8,0,0
1.8-2,0,11
2-2.2,0,0
2.2-2.5,0,0
2.5-2.8,4,0
2.8-3,0,0
