N_a,exponential,nonexponential
9.9999999999999995e-08-9.9999999999999995e-07,5,0
9.9999999999999995e-07-1.0000000000000001e-05,9,5
1.0000000000000001e-05-0.0001,79,10
0.0001-0.001,32,6
0.001-0.01,31,18
0.01-0.10000000000000001,6,13
