N_Z2,exponential,nonexponential
-1--0.9,6,5
-0.9--0.8,5,2
-0.8--0.7,5,4
-0.7--0.6,4,0
-0.6--0.5,5,0
-0.5--0.4,0,0
-0.4--0.3,0,0
-0.3--0.2,0,0
-0.2--0.1,0,0
-0.1-0,3,0
0-0.1,0,0
0.1-0.2,6,5
0.2-0.3,0,1
0.3-0.4,0,0
0.4-0.5,7,0
0.5-0.6,17,5
0.6-0.7,12,0
0.7-0.8,22,1
0.8-0.9,17,5
0.9-1,53,24
