N_g,exponential,nonexponential
1e-11-1e-10,0,1
1e-10-1e-9,0,0
1e-9-1e-8,1,0
1e-8-1e-7,14,5
1e-7-1e-6,39,33
1e-6-1e-5,77,5
1e-5-1e-4,30,8
1e-4-1e-3,1,0
