n_z2,exponential,nonexponential
"(-1, -0.8]",11,7
"(-0.8, -0.6]",9,4
"(-0.6, -0.4]",5,0
"(-0.4, -0.2]",0,0
"(-0.2, 0]",3,0
"(0, 0.2]",6,5
"(0.2, 0.4]",0,1
"(0.4, 0.6]",24,5
"(0.6, 0.8]",34,1
"(0.8, 1]",70,29
