influent_concentration_enm,concentration_nom,n_dl,n_asp,n_att,n_g,n_Pe,n_Lo,n_por,m_inf,n_z1,n_z2,n_asp_c,collector_coating=FeOOH,collector_coating=IronOxide,collector_coating=None,enm_id=Ag,enm_id=C60,enm_id=CeO2,enm_id=CuO,enm_id=Fe,enm_id=MWCNT,enm_id=QD,enm_id=TiO2,enm_id=ZnO,enm_id=nBiochar,enm_id=nHAP,nom_id=Alg,nom_id=Citric,nom_id=FA,nom_id=Formic,nom_id=HA,nom_id=None,nom_id=Oxalic,nom_id=SRHA,nom_id=TRIZMA
20.0,0.0,2.34656257504,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,7.6074672638,0.91386818305,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20.0,0.0,5.552980564,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,7.12866228619,0.872691955381,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20.0,0.0,6.42632627474,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,6.82749373261,0.850614004783,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20.0,0.0,6.63708123717,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,6.66641837152,0.846874989896,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20.0,0.0,7.42048240925,0.000307272727273,0.00202156972792,41.3278588381,17598726.269,1.82197631349,45.9547236374,2.72434987928,6.44370508173,0.841984361435,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20.0,0.0,1.8176395548,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,2.89540738779,0.999635614356,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20.0,0.0,2.22614472277,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,2.44439597488,0.999664554634,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20.0,0.0,2.5705305099,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,2.18328131627,0.997289314931,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20.0,0.0,3.14824405875,0.000307272727273,14.6662901829,299829.564119,2425.77037761,1.82197631349,45.9547236374,2.72434987928,1.87393379025,0.979997424733,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,0.0,25.4667443631,0.00105454545455,0.0742748454904,947924.190671,31015.1868677,0.40488362522,26.6975437361,0.731598389205,13.5758231267,-0.603039950233,6.66666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200.0,0.0,25.2032952835,0.00104363636364,0.0758357453137,928413.408578,30694.340107,0.40488362522,26.6975437361,0.731598389205,13.4353835771,-0.603039950233,6.66666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,0.0,104.501468249,0.00432727272727,0.00441106878451,15961420.2902,127269.215078,0.40488362522,26.6975437361,0.731598389205,63.5389494471,0.912991453296,6.66666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200.0,0.0,118.552085828,0.00490909090909,0.00342744280151,20542114.5957,144381.042315,0.40488362522,26.6975437361,0.731598389205,72.0820014736,0.912991453296,6.66666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,0.0,25.4667443631,0.00105454545455,0.0148549690981,189584.838134,155075.934339,0.40488362522,26.6975437361,0.731598389205,8.3454303939,-0.741521675853,6.66666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200.0,0.0,25.2032952835,0.00104363636364,0.0151671490627,185682.681716,153471.700535,0.40488362522,26.6975437361,0.731598389205,8.25909835535,-0.741521675853,6.66666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,0.0,104.501468249,0.00432727272727,0.000882213756902,3192284.05805,636346.07539,0.40488362522,26.6975437361,0.731598389205,24.8160562688,0.999520687159,6.66666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200.0,0.0,118.552085828,0.00490909090909,0.000685488560301,4108422.91914,721905.211577,0.40488362522,26.6975437361,0.731598389205,28.1526688764,0.999520687159,6.66666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,0.0,297.138692934,0.00389090909091,0.00545594768604,12904618.3817,114435.34465,0.40488362522,26.6975437361,0.731598389205,27.640795435,-0.507910872717,6.66666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200.0,0.0,288.807701544,0.00378181818182,0.00577525379599,12191139.1752,111226.877043,0.40488362522,26.6975437361,0.731598389205,26.8658198621,-0.507910872717,6.66666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,0.0,372.117615451,0.00487272727273,0.0034787895443,20238914.1114,143311.553113,0.40488362522,26.6975437361,0.731598389205,27.8152309046,0.999649679817,6.66666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200.0,0.0,355.455632669,0.00465454545455,0.00381256988876,18467051.0582,136894.617899,0.40488362522,26.6975437361,0.731598389205,26.5697728044,0.999649679817,6.66666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,0.0,297.138692934,0.00389090909091,0.00109118953721,2580923.67634,572176.72325,0.40488362522,26.6975437361,0.731598389205,27.640795435,-0.507910872717,6.66666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200.0,0.0,288.807701544,0.00378181818182,0.0011550507592,2438227.83503,556134.385215,0.40488362522,26.6975437361,0.731598389205,26.8658198621,-0.507910872717,6.66666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
100.0,0.0,372.117615451,0.00487272727273,0.00069575790886,4047782.82228,716557.765565,0.40488362522,26.6975437361,0.731598389205,27.8152309046,0.999649679817,6.66666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
200.0,0.0,355.455632669,0.00465454545455,0.000762513977752,3693410.21164,684473.089495,0.40488362522,26.6975437361,0.731598389205,26.5697728044,0.999649679817,6.66666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,0.0,138.849856511,0.0025,0.00196560533903,227826.038186,481014.28239,0.393951767339,43.072155102,24.1745554694,14.4793276375,-0.964460866644,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,0.0,138.849856511,0.0025,0.00923834509342,1070782.37947,102343.464338,0.393951767339,43.072155102,24.1745554694,14.4793276375,-0.964460866644,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,0.0,138.849856511,0.0025,0.00408776331567,473797.513042,231296.229405,0.393951767339,43.072155102,24.1745554694,14.4793276375,-0.964460866644,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,1.0,42.8543836179,0.000956862745098,0.0747016490819,11015136.0249,23586.3695406,0.280989235903,33.6391419474,1.18752202306,29.2021624669,-0.862780595564,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,10.0,44.3472617357,0.000990196078431,0.0697568846935,11795951.4611,24408.0258566,0.280989235903,33.6391419474,1.18752202306,33.8737061395,-0.829224193994,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,1.0,136.628258807,0.000964705882353,0.0734919257674,11196452.0909,23779.7004385,0.280989235903,33.6391419474,1.18752202306,31.6446432806,-0.776806892879,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50.0,10.0,134.12896139,0.000947058823529,0.0762562723444,10790572.3769,23344.7059183,0.280989235903,33.6391419474,1.18752202306,29.8871023371,-0.788420498208,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
