,predicted,truth
0,0,0
1,0,1
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,1,1
10,0,0
11,0,0
12,0,0
13,0,0
14,1,1
15,0,0
16,0,0
17,0,1
18,0,0
19,0,0
20,0,0
21,0,0
22,0,1
23,0,0
24,1,1
25,0,0
26,0,0
27,1,1
28,0,0
29,0,0
30,0,0
31,0,0
32,1,1
